country,name,full_name,tag,id,symbol,currency,class,market
argentina,S&P Merval,S&P Merval,merv,13376,MERV,ARS,major_indices,world_indices
argentina,BNY Mellon Argentina ADR TR,BNY Mellon Argentina ADR Total Return,bny-argentina-adr-tr,956016,BKART,USD,additional_indices,global_indices
argentina,BNY Mellon Argentina ADR,BNY Mellon Argentina ADR,bny-argentina-adr,955998,BKAR,USD,additional_indices,global_indices
argentina,S&P/BYMA Argentina General,S&P/BYMA Argentina General,ibg,13317,IBG,ARS,additional_indices,world_indices
argentina,S&P Merval Argentina,S&P Merval Argentina,mar,13374,MAR,ARS,additional_indices,world_indices
argentina,MSCI Argentina,MSCI Argentina,msci-argentina,942930,MIAR00000PUS,USD,major_indices,global_indices
australia,BNY Mellon Australia Classic ADR,BNY Mellon Australia Classic ADR,bny-australia-classic-adr,956036,BKCAU,USD,additional_indices,global_indices
australia,BNY Mellon Australia ADR TR,BNY Mellon Australia ADR Total Return,bny-australia-adr-tr,956012,BKAUT,USD,additional_indices,global_indices
australia,BNY Mellon Australia ADR,BNY Mellon Australia ADR,bny-australia-adr,955974,BKAU,USD,additional_indices,global_indices
australia,DJ Australia LPT,Dow Jones Australia LPT,dj-australia-lpt,954243,DJAULPT,AUD,additional_indices,global_indices
australia,S&P/ASX 200 Accumulated,S&P/ASX 200 Accumulated,s-p-asx-200-accumulated,951106,AXJOA,AUD,additional_indices,global_indices
australia,TR Australia 50,Thomson Reuters Australia 50,thomson-reuters-australia-50,941624,TRX50AUP,AUD,additional_indices,global_indices
australia,BNY Mellon Australia Classic ADR TR,BNY Mellon Australia Classic ADR Total Return,bny-australia-classic-adr-tr,956096,BKCAUT,USD,additional_indices,global_indices
australia,DJ Australia,Dow Jones Australia,dj-australia,954240,DJAU,AUD,major_indices,global_indices
australia,DJ Australia USD,Dow Jones Australia USD,dj-australia-usd,954199,AUDOWD,USD,major_indices,global_indices
australia,MSCI Australia AUD,MSCI Australia AUD,msci-australia-aud,951404,MSCIAU,AUD,major_indices,global_indices
australia,MSCI Australia USD,MSCI Australia USD,msci-australia-usd,951285,MIAU00000NUS,USD,major_indices,global_indices
australia,S&P/ASX Midcap 50,S&P/ASX Midcap 50,s-p-asx-midcap50,14495,AXMD,AUD,additional_indices,world_indices
australia,S&P/ASX All Australian 50,S&P/ASX All Australian 50,s-p-asx-all-australian-50,14502,AXAF,AUD,additional_indices,world_indices
australia,S&P/ASX All Australian 200,S&P/ASX All Australian 200,s-p-asx-all-australian-200,14503,AXAT,AUD,additional_indices,world_indices
